00AA,LEOTI. KS
9NK4,RED HOOK. NY
9NM9,TRUTH OR CONSEQUENCES. NM
9NR0,HILLSBOROUGH. NC
9NR4,MT. PLEASANT. NC
9NR7,SALEMBURG. NC
9NR8,RED SPRINGS. NC
9NY6,TREADWELL. NY
9NY7,PERTH. NY
9OA5,HEBRON. OH
9OA8,COLUMBIA STATION. OH
9OA9,BELLVILLE. OH
9OH1,ELMORE. OH
9OH2,GENOA. OH
9OH7,FINDLAY. OH
9OH8,FINDLAY. OH
9OI3,ZANESVILLE. OH
9OI5,EAST LIBERTY. OH
9OK3,BARTLESVILLE. OK
9OK4,CADDO. OK
9OK8,HENESSEY. OK
9OK9,JONES. OK
9OR0,BROWNSVILLE. OR
9OR1,SHANIKO. OR
9OR4,MILTON/FREEWATER. OR
9OR8,ALBANY. OR
9PA2,PENNSBURG. PA
9PA3,WAMPUM. PA
9PA7,FORT HILL. PA
9PN1,PERRYOPOLIS. PA
9PN7,WYSOX. PA
9PN8,CARBONDALE. PA
9PS2,WORTHINGTON. PA
9PS8,GETTYSBURG. PA
9R5,PORTLAND. TX
9S1,CELINA. TX
9S2,SCOBEY. MT
9S3,LAKESIDE. OR
9S4,SUPERIOR. MT
9S5,THREE FORKS. MT
9S7,WINIFRED. MT
9S9,LEXINGTON. OR
9SD7,SELBY. SD
9SD8,HARTFORD. SD
9TA1,NEW BRAUNFELS. TX
9TA3,CROSBY. TX
9TA8,ALTO. TX
9TE0,SCURRY. TX
9TE2,SONORA. TX
9TE3,LAMESA. TX
9TE4,PORT LAVACA. TX
9TE5,FULTON. TX
9TE6,LA GRANGE. TX
9TE7,PAIGE. TX
9TN1,EAGLEVILLE. TN
9TN2,CAMDEN. TN
9TN4,SPRINGFIELD. TN
9TN5,CULLEOKA. TN
9TN7,COVINGTON. TN
9TN9,LEBANON. TN
9TS3,CATARINA. TX
9TS6,ALVARADO. TX
A05,DIXIE. ID
A08,MARION. AL
A09,BULLHEAD CITY. AZ
A13,ANCHORAGE. AK
A14,PORTAGE CREEK. AK
A20,BULLHEAD CITY. AZ
A24,ALTURAS. CA
A26,ADIN. CA
A28,FORT BIDWELL. CA
A30,FORT JONES. CA
A32,DORRIS. CA
A34,DAYTON/CARSON CITY. NV
A39,MARICOPA. AZ
A51,PORT ST JOE. FL
A57,YAKUTAT. AK
A61,TUNTUTULIAK. AK
A63,TWIN HILLS. AK
A67,YAKUTAT. AK
A68,YAKUTAT. AK
A69,YAKUTAT. AK
A77,YANKEE CREEK. AK
A79,CHIGNIK LAKE. AK
AA00,TALKEETNA. AK
AA05,KING SALMON. AK
AA06,ANCHORAGE. AK
AA09,TALKEETNA. AK
AA10,BIG LAKE. AK
AA16,KENAI. AK
AA22,DELTA JUNCTION. AK
AA25,PALMER. AK
AA30,HOUSTON. AK
AA33,HOUSTON. AK
AA76,NORTH POLE. AK
AAA,LINCOLN. IL
AAF,APALACHICOLA. FL
AAO,WICHITA. KS
AAS,CAMPBELLSVILLE. KY
AAT,ALTURAS. CA
ABE,ALLENTOWN. PA
ABI,ABILENE. TX
ABO,ARECIBO. PR
ABQ,ALBUQUERQUE. NM
ABR,ABERDEEN. SD
ABY,ALBANY. GA
ACB,BELLAIRE. MI
ACJ,AMERICUS. GA
ACK,NANTUCKET. MA
ACP,OAKDALE. LA
ACQ,WASECA. MN
ACT,WACO. TX
ACV,ARCATA/EUREKA. CA
ACY,ATLANTIC CITY. NJ
ACZ,WALLACE. NC
ADC,WADENA. MN
ADF,ARKADELPHIA. AR
ADG,ADRIAN. MI
ADH,ADA. OK
ADK,ADAK ISLAND. AK
ADM,ARDMORE. OK
ADQ,KODIAK. AK
ADS,DALLAS. TX
ADT,ATWOOD. KS
ADU,AUDUBON. IA
ADW,CAMP SPRINGS. MD
AEG,ALBUQUERQUE. NM
AEJ,BUENA VISTA. CO
AEL,ALBERT LEA. MN
AEX,ALEXANDRIA. LA
AFE,KAKE. AK
AFF,COLORADO SPRINGS. CO
AFJ,WASHINGTON. PA
AFK,NEBRASKA CITY. NE
AFM,AMBLER. AK
AFN,JAFFREY. NH
AFO,AFTON. WY
AFP,WADESBORO. NC
AFW,FORT WORTH. TX
AGC,PITTSBURGH. PA
AGO,MAGNOLIA. AR
AGR,AVON PARK. FL
AGS,AUGUSTA. GA
AGZ,WAGNER. SD
AHC,HERLONG. CA
AHH,AMERY. WI
AHN,ATHENS. GA
AHQ,WAHOO. NE
AIA,ALLIANCE. NE
AIB,NUCLA. CO
AID,ANDERSON. IN
AIG,ANTIGO. WI
AIK,AIKEN. SC
AIO,ATLANTIC. IA
AIT,AITKIN. MN
AIV,ALICEVILLE. AL
AIZ,KAISER/LAKE OZARK. MO
AJC,CHIGNIK. AK
AJG,MOUNT CARMEL. IL
AJO,CORONA. CA
AJR,CORNELIA. GA
AJZ,DELTA. CO
AK0,MCCARTHY. AK
AK00,ANCHOR POINT. AK
AK01,STERLING. AK
AK02,BEAR CREEK. AK
AK03,WAINWRIGHT. AK
AK05,STERLING. AK
AK06,MCKINLEY PARK. AK
AK08,WILLOW. AK
AK09,DELTA JUNCTION. AK
AK1,PALMER. AK
AK10,WILLOW. AK
AK11,NIKISKI. AK
AK12,ANCHORAGE. AK
AK13,CHENA HOT SPRINGS. AK
AK14,POINT MACKENZIE. AK
AK15,NUIQSUT. AK
AK16,WASILLA. AK
AK17,HOMER. AK
AK18,HOMER. AK
AK19,TALKEETNA. AK
AK20,NUIQSUT. AK
AK21,DILLINGHAM. AK
AK22,FAIRBANKS. AK
AK23,DUTCH HARBOR. AK
AK24,CHUGIAK. AK
AK25,WASILLA. AK
AK26,SOLOMON. AK
AK27,WASILLA. AK
AK28,FAIRBANKS. AK
AK29,HOUSTON. AK
AK30,CORDOVA. AK
AK31,MCCARTHY. AK
AK33,HERENDEEN BAY. AK
AK36,POINT MACKENZIE. AK
AK39,STERLING. AK
AK40,MC GRATH. AK
AK41,NORTH POLE. AK
AK44,TALKEETNA. AK
AK45,WASILLA. AK
AK46,PALMER. AK
AK47,WASILLA. AK
AK49,TAYLOR. AK
AK50,PALMER. AK
AK51,KING SALMON. AK
AK52,FAIRBANKS. AK
AK53,LIME VILLAGE. AK
AK54,WASILLA. AK
AK55,SOLDOTNA. AK
AK58,WASILLA. AK
AK59,SUTTON. AK
AK60,JENSENS. AK
AK61,TALKEETNA. AK
AK63,PALMER. AK
AK64,SKWENTNA. AK
AK65,WASILLA. AK
AK66,PALMER. AK
AK67,WILLOW. AK
AK68,WILLOW. AK
AK69,WILLOW. AK
AK7,FAIRBANKS. AK
AK71,LONELY. AK
AK72,WILLOW. AK
AK73,NIKISHKA. AK
AK74,HANNUM CREEK. AK
AK75,CANDLE. AK
AK76,YAKUTAT. AK
AK77,DELTA JUNCTION. AK
AK78,DEADHORSE. AK
AK79,WASILLA. AK
AK83,WASILLA. AK
AK84,STERLING. AK
AK85,WASILLA. AK
AK86,BIG LAKE. AK
AK88,PALMER. AK
AK89,HOUSTON. AK
AK90,WILLOW. AK
AK92,PALMER. AK
AK93,PALMER. AK
AK95,BIG LAKE. AK
AK96,UGASHIK. AK
AK97,BOSWELL BAY. AK
AK98,BUCK CREEK. AK
AK99,WASILLA. AK
AKA,ATKA. AK
AKH,GASTONIA. NC
AKI,AKIAK. AK
AKK,AKHIOK. AK
AKN,KING SALMON. AK
AKO,AKRON. CO
AKP,ANAKTUVUK PASS. AK
AKQ,WAKEFIELD. VA
AKR,AKRON. OH
AKW,KLAWOCK. AK
AL03,AKRON. AL
AL04,SOMERVILLE. AL
AL05,HURTSBORO. AL
AL08,ELBERTA. AL
AL09,MENTONE. AL
AL10,GURLEY. AL
AL12,MONTGOMERY. AL
AL16,PINSON. AL
AL17,WILSONVILLE. AL
AL18,GARDENDALE. AL
AL25,ROBA. AL
AL27,CENTRE. AL
AL29,BLOUNTSVILLE. AL
AL30,BREMEN. AL
AL32,CEDAR BLUFF. AL
AL33,PERDIDO. AL
AL34,MOULTON. AL
AL35,LOXLEY. AL
AL40,BIRMINGHAM. AL
AL41,SLOCOMB. AL
AL43,GEIGER. AL
AL44,MOUNDVILLE. AL
AL51,CRAWFORD. AL
AL54,WINFIELD. AL
AL55,ELBERTA. AL
AL60,ASHVILLE. AL
AL62,HARTFORD. AL
AL69,SEMINOLE. AL
AL71,OUR TOWN. AL
AL74,SEMMES. AL
AL76,MAPLESVILLE. AL
AL77,TROY. AL
AL84,ROBERTSDALE. AL
AL88,LILLIAN. AL
AL89,OPELIKA. AL
AL92,HARPERSVILLE. AL
AL93,HUNTSVILLE. AL
AL94,WILMER. AL
AL97,LOXLEY. AL
AL99,HAZEL GREEN. AL
ALB,ALBANY. NY
ALI,ALICE. TX
ALM,ALAMOGORDO. NM
ALN,ALTON/ST LOUIS. IL
ALO,WATERLOO. IA
ALS,ALAMOSA. CO
ALW,WALLA WALLA. WA
ALX,ALEXANDER CITY. AL
AMA,AMARILLO. TX
AMG,ALMA. GA
AMN,ALMA. MI
AMT,WEST UNION. OH
AMW,AMES. IA
AN01,KLONDYKE. AZ
AN03,SKWENTNA. AK
AN04,PALMER. AK
AN05,FAIRBANKS. AK
AN37,JONESBORO. AR
ANB,ANNISTON. AL
ANC,ANCHORAGE. AK
AND,ANDERSON. SC
ANE,MINNEAPOLIS. MN
ANG,ANGAUR ISLAND. PW
ANI,ANIAK. AK
ANJ,SAULT STE MARIE. MI
ANK,SALIDA. CO
ANN,ANNETTE. AK
ANP,ANNAPOLIS. MD
ANQ,ANGOLA. IN
ANV,ANVIK. AK
ANW,AINSWORTH. NE
ANY,ANTHONY. KS
AOC,ARCO. ID
AOH,LIMA. OH
AOO,ALTOONA. PA
AOV,AVA. MO
APA,DENVER. CO
APC,NAPA. CA
APF,NAPLES. FL
APG,ABERDEEN PROVING GROUNDS (ABER
APH,BOWLING GREEN. VA
APN,ALPENA. MI
APS,RESERVE. LA
APT,JASPER. TN
APV,APPLE VALLEY. CA
APY,ZAPATA. TX
AQH,QUINHAGAK. AK
AQO,LLANO. TX
AQP,APPLETON. MN
AQR,ATOKA. OK
AQT,NUIQSUT. AK
AQW,NORTH ADAMS. MA
AQX,ALLENDALE. SC
AQY,GIRDWOOD. AK
AR03,CENTERVILLE. AR
AR05,CHICKALA. AR
AR06,CONWAY. AR
AR09,GRAVETTE. AR
AR10,HAZEN. AR
AR11,ROGERS. AR
AR12,ROSE BUD. AR
AR13,BIGELOW. AR
AR17,PALESTINE. AR
AR22,SHERRILL. AR
AR27,WESLEY. AR
AR34,MAYFLOWER. AR
AR43,MORRILTON. AR
AR44,TEXARKANA. AR
AR46,MC CRORY. AR
AR55,NORTH LITTLE ROCK. AR
AR79,TILLAR. AR
AR88,CONWAY. AR
AR89,DOVER. AR
AR91,LOWELL. AR
ARA,NEW IBERIA. LA
ARB,ANN ARBOR. MI
ARC,ARCTIC VILLAGE. AK
ARG,WALNUT RIDGE. AR
ARM,WHARTON. TX
ARR,CHICAGO/AURORA. IL
ART,WATERTOWN. NY
ARV,MINOCQUA-WOODRUFF. WI
ARW,BEAUFORT. SC
ASD,SLIDELL. LA
ASE,ASPEN. CO
ASG,SPRINGDALE. AR
ASH,NASHUA. NH
ASJ,AHOSKIE. NC
ASL,MARSHALL. TX
ASN,TALLADEGA. AL
AST,ASTORIA. OR
ASW,WARSAW. IN
ASX,ASHLAND. WI
ASY,ASHLEY. ND
ATA,ATLANTA. TX
ATK,ATQASUK. AK
ATL,ATLANTA. GA
ATM,TAYLOR MOUNTAIN MINE. AK
ATS,ARTESIA. NM
ATU,ATTU. AK
ATW,APPLETON. WI
ATY,WATERTOWN. SD
AUG,AUGUSTA. ME
AUH,AURORA. NE
AUK,ALAKANUK. AK
AUM,AUSTIN. MN
AUN,AUBURN. CA
AUO,AUBURN. AL
AUS,AUSTIN. TX
AUW,WAUSAU. WI
AVC,SOUTH HILL. VA
AVK,ALVA. OK
AVL,ASHEVILLE. NC
AVO,AVON PARK. FL
AVP,WILKES-BARRE/SCRANTON. PA
AVQ,MARANA. AZ
AVX,AVALON. CA
AWG,WASHINGTON. IA
AWI,WAINWRIGHT. AK
AWK,WAKE ISLAND. QW
AWM,WEST MEMPHIS. AR
AWO,ARLINGTON. WA
AXA,ALGONA. IA
AXH,HOUSTON. TX
AXN,ALEXANDRIA. MN
AXQ,CLARION. PA
AXS,ALTUS. OK
AXV,WAPAKONETA. OH
AXX,ANGEL FIRE. NM
AYS,WAYCROSS. GA
AYX,TULLAHOMA. TN
AZ01,WENDEN. AZ
AZ03,MARBLE CANYON. AZ
AZ04,ELOY. AZ
AZ05,GILA BEND. AZ
AZ06,WELLTON. AZ
AZ09,PAULDEN. AZ
AZ13,MARICOPA. AZ
AZ14,WILLCOX. AZ
AZ17,DOUGLAS. AZ
AZ19,WILLCOX. AZ
AZ21,HUACHUCA CITY/TOMBSTONE. AZ
AZ25,SOMERTON. AZ
AZ26,PALOMINAS. AZ
AZ27,PRESCOTT. AZ
AZ28,MORRISTOWN. AZ
AZ31,MARICOPA. AZ
AZ32,MORRISTOWN. AZ
AZ34,YUCCA. AZ
AZ40,SALOME. AZ
AZ43,MARICOPA. AZ
AZ45,KLONDYKE. AZ
AZ46,PRESCOTT. AZ
AZ49,DOLAN SPRINGS. AZ
AZ50,WHITE HILLS. AZ
AZ57,PAULDEN. AZ
AZ60,WELLTON. AZ
AZ61,STANFIELD. AZ
AZ63,REDROCK. AZ
AZ64,WICKENBURG. AZ
AZ66,CLIFTON. AZ
AZ71,KINGMAN. AZ
AZ72,CROWN KING. AZ
AZ78,MARICOPA. AZ
AZ82,OVERGAARD. AZ
AZ85,TONOPAH. AZ
AZ88,ELOY. AZ
AZ90,LAVEEN. AZ
AZ97,KINGMAN. AZ
AZC,COLORADO CITY. AZ
AZE,HAZLEHURST. GA
AZO,KALAMAZOO. MI
AZU,FORT CHAFFEE. AR
B04,SCHUYLERVILLE. NY
B06,VERGENNES. VT
B10,LIVERMORE FALLS. ME
B16,WEEDSPORT. NY
B19,BIDDEFORD. ME
B21,CARRABASSETT. ME
B70,TIBER DAM. MT
BAB,MARYSVILLE. CA
BAC,VALLEY CITY. ND
BAD,BOSSIER CITY. LA
BAF,WESTFIELD/SPRINGFIELD. MA
BAK,COLUMBUS. IN
BAM,BATTLE MOUNTAIN. NV
BAX,BAD AXE. MI
BAZ,NEW BRAUNFELS. TX
BB0,WINIFRED. MT
BBB,BENSON. MN
BBD,BRADY. TX
BBG,BRANSON. MO
BBP,BENNETTSVILLE. SC
BBW,BROKEN BOW. NE
BCB,BLACKSBURG. VA
BCE,BRYCE CANYON. UT
BCK,BLACK RIVER FALLS. WI
BCR,BONIFAY. FL
BCT,BOCA RATON. FL
BCV,BIRCHWOOD. AK
BDE,BAUDETTE. MN
BDG,BLANDING. UT
BDH,WILLMAR. MN
BDJ,BOULDER JUNCTION. WI
BDL,WINDSOR LOCKS. CT
BDN,BEND. OR
BDQ,MORRILTON. AR
BDR,BRIDGEPORT. CT
BDU,BOULDER. CO
BEA,BEEVILLE. TX
BEC,WICHITA. KS
BED,BEDFORD. MA
BEH,BENTON HARBOR. MI
BET,BETHEL. AK
BFA,BOYNE FALLS. MI
BFD,BRADFORD. PA
BFE,BROWNFIELD. TX
BFF,SCOTTSBLUFF. NE
BFI,SEATTLE. WA
BFK,BUFFALO. OK
BFL,BAKERSFIELD. CA
BFM,MOBILE. AL
BFR,BEDFORD. IN
BFW,SILVER BAY. MN
BGD,BORGER. TX
BGE,BAINBRIDGE. GA
BGF,WINCHESTER. TN
BGM,BINGHAMTON. NY
BGQ,BIG LAKE. AK
BGR,BANGOR. ME
BHB,BAR HARBOR. ME
BHC,BAXLEY. GA
BHK,BAKER. MT
BHM,BIRMINGHAM. AL
BID,BLOCK ISLAND. RI
BIE,BEATRICE. NE
BIF,FORT BLISS/EL PASO/. TX
BIG,DELTA JUNCTION FT GREELY. AK
BIH,BISHOP. CA
BIJ,BLAKELY. GA
BIL,BILLINGS. MT
BIS,BISMARCK. ND
BIV,HOLLAND. MI
BIX,BILOXI. MS
BJC,DENVER. CO
BJI,BEMIDJI. MN
BJJ,WOOSTER. OH
BKD,BRECKENRIDGE. TX
BKE,BAKER CITY. OR
BKF,AURORA. CO
BKH,KEKAHA.KAUAI. HI
BKL,CLEVELAND. OH
BKN,BLACKWELL. OK
BKS,FALFURRIAS. TX
BKT,BLACKSTONE. VA
BKV,BROOKSVILLE. FL
BKW,BECKLEY. WV
BKX,BROOKINGS. SD
BLF,BLUEFIELD. WV
BLG,BELUGA. AK
BLH,BLYTHE. CA
BLI,BELLINGHAM. WA
BLM,BELMAR/FARMINGDALE. NJ
BLU,EMIGRANT GAP. CA
BLV,BELLEVILLE. IL
BMC,BRIGHAM CITY. UT
BMG,BLOOMINGTON. IN
BMI,BLOOMINGTON/NORMAL. IL
BML,BERLIN. NH
BMQ,BURNET. TX
BMT,BEAUMONT. TX
BNA,NASHVILLE. TN
BNG,BANNING. CA
BNL,BARNWELL. SC
BNO,BURNS. OR
BNW,BOONE. IA
BOI,BOISE. ID
BOK,BROOKINGS. OR
BOS,BOSTON. MA
BOW,BARTOW. FL
BPG,BIG SPRING. TX
BPI,BIG PINEY. WY
BPK,MOUNTAIN HOME. AR
BPT,BEAUMONT/PORT ARTHUR. TX
BQ1,CARTHAGE. NC
BQK,BRUNSWICK. GA
BQN,AGUADILLA. PR
BQP,BASTROP. LA
BQR,LANCASTER. NY
BRD,BRAINERD. MN
BRG,BELEN. NM
BRL,BURLINGTON. IA
BRO,BROWNSVILLE. TX
BRW,UTQIAGVIK. AK
BRY,BARDSTOWN. KY
BSF,CAMP POHAKULOA. HI
BST,BELFAST. ME
BTA,BLAIR. NE
BTF,BOUNTIFUL. UT
BTI,BARTER ISLAND. AK
BTL,BATTLE CREEK. MI
BTM,BUTTE. MT
BTN,BRITTON. SD
BTP,BUTLER. PA
BTR,BATON ROUGE. LA
BTT,BETTLES. AK
BTV,BURLINGTON. VT
BTY,BEATTY. NV
BUB,BURWELL. NE
BUF,BUFFALO. NY
BUM,BUTLER. MO
BUR,BURBANK. CA
BUU,BURLINGTON. WI
BUY,BURLINGTON. NC
BVI,BEAVER FALLS. PA
BVK,BUCKLAND. AK
BVN,ALBION. NE
BVO,BARTLESVILLE. OK
BVS,BURLINGTON/MOUNT VERNON. WA
BVU,BOULDER CITY. NV
BVX,BATESVILLE. AR
BVY,BEVERLY. MA
BW8,WINIFRED. MT
BWC,BRAWLEY. CA
BWD,BROWNWOOD. TX
BWG,BOWLING GREEN. KY
BWI,BALTIMORE. MD
BWP,WAHPETON. ND
BWW,BOWMAN. ND
BXA,BOGALUSA. LA
BXG,WAYNESBORO. GA
BXK,BUCKEYE. AZ
BXM,BRUNSWICK. ME
BYA,BOUNDARY. AK
BYG,BUFFALO. WY
BYH,BLYTHEVILLE. AR
BYI,BURLEY. ID
BYL,WILLIAMSBURG. KY
BYS,FORT IRWIN/BARSTOW. CA
BYY,BAY CITY. TX
BZN,BOZEMAN. MT
C00,ALEDO. IL
C01,WILLIAMSTOWN. NJ
C02,LAKE GENEVA. WI
C03,NAPPANEE. IN
C04,HART/SHELBY. MI
C05,CHENEGA. AK
C08,WESTCLIFFE. CO
C09,MORRIS. IL
C11,AMANA. IA
C15,PEKIN. IL
C16,URBANA. IL
C17,MARION. IA
C20,BERRIEN SPRINGS. MI
C23,BABELTHUAP ISLAND. PW
C24,CREEDE. CO
C25,WAVERLY. IA
C27,MANCHESTER. IA
C29,MIDDLETON. WI
C30,MEJIT ATOLL. MH
C35,REEDSBURG. WI
C37,BRODHEAD. WI
C40,BLUFFTON. IN
C43,SUNFIELD. MI
C44,PUTNAM. CT
C47,PORTAGE. WI
C48,DIXIE. ID
C51,KILI ISLAND. MH
C53,CHALLIS. ID
C55,MOUNT MORRIS. IL
C56,MONEE. IL
C59,DELAVAN. WI
C62,KENDALLVILLE. IN
C64,CAYUSE CREEK. ID
C65,PLYMOUTH. IN
C66,MONMOUTH. IL
C71,CROSBY. MS
C72,CLAYTON. WA
C73,DIXON. IL
C74,CASSVILLE. WI
C75,LACON. IL
C77,POPLAR GROVE. IL
C80,COALINGA. CA
C81,GRAYSLAKE. IL
C82,COMPTON. IL
C83,BYRON. CA
C89,STURTEVANT. WI
C91,DOWAGIAC. MI
C92,MENTONE. IN
C97,LOWELL. IN
C98,LAKE VILLAGE. IN
CA03,PLANADA. CA
CA04,COTTONWOOD. CA
CA05,STRATFORD. CA
CA06,ALTURAS. CA
CA07,PLEASANT GROVE. CA
CA09,KLAMATH RIVER. CA
CA11,CHILCOOT. CA
CA13,REEDLEY. CA
CA18,ROBBINS. CA
CA19,IONE. CA
CA20,IONE. CA
CA21,ROUGH AND READY. CA
CA32,SAN JOAQUIN. CA
CA34,ESPARTO. CA
CA35,SAN RAFAEL. CA
CA38,CALPINE. CA
CA39,SANTA ROSA. CA
CA40,SELMA. CA
CA41,SELMA. CA
CA42,LAKE ELSINORE. CA
CA44,SPRINGVILLE. CA
CA49,STRATFORD. CA
CA51,THE SEA RANCH. CA
CA57,VACAVILLE. CA
CA60,VINA. CA
CA62,CAMP ROBERTS. CA
CA66,WATSONVILLE. CA
CA67,WESTLEY. CA
CA70,HELENDALE. CA
CA71,DRYTOWN. CA
CA73,YUBA CITY. CA
CA74,TRACY. CA
CA76,RAMONA. CA
CA88,SAN ARDO. CA
CA89,LAKE ELSINORE. CA
CA90,CADIZ. CA
CA92,PARADISE. CA
CA97,SANTA BARBARA. CA
CAD,CADILLAC. MI
CAE,COLUMBIA. SC
CAG,CRAIG. CO
CAK,AKRON. OH
CAO,CLAYTON. NM
CAR,CARIBOU. ME
CAV,CLARION. IA
CBE,CUMBERLAND. MD
CBF,COUNCIL BLUFFS. IA
CBG,CAMBRIDGE. MN
CBK,COLBY. KS
CBM,COLUMBUS. MS
CCA,CLINTON. AR
CCB,UPLAND. CA
CCO,ATLANTA. GA
CCR,CONCORD. CA
CCY,CHARLES CITY. IA
CD01,COTOPAXI. CO
CD02,STEAMBOAT SPRINGS. CO
CD03,LAMAR. CO
CD09,BENNETT. CO
CD10,SOUTH FORK. CO
CD13,DEER TRAIL. CO
CD14,BENNETT. CO
CD15,SIMLA. CO
CD17,BYERS. CO
CD20,LOVELAND. CO
CD23,CALHAN. CO
CD28,INDIAN HILLS. CO
CD32,LAKE CITY. CO
CD39,BERTHOUD. CO
CD45,ELIZABETH. CO
CD48,WALSENBURG. CO
CD69,SOUTH FORK. CO
CD97,HOTCHKISS. CO
CD99,STEAMBOAT SPRINGS. CO
CDA,LYNDONVILLE. VT
CDB,COLD BAY. AK
CDC,CEDAR CITY. UT
CDH,CAMDEN. AR
CDI,CAMBRIDGE. OH
CDK,CEDAR KEY. FL
CDN,CAMDEN. SC
CDR,CHADRON. NE
CDS,CHILDRESS. TX
CDV,CORDOVA. AK
CDW,CALDWELL. NJ
CEA,WICHITA. KS
CEC,CRESCENT CITY. CA
CEF,SPRINGFIELD/CHICOPEE. MA
CEK,CRETE. NE
CEM,CENTRAL. AK
CEU,CLEMSON. SC
CEV,CONNERSVILLE. IN
CEW,CRESTVIEW. FL
CEY,MURRAY. KY
CEZ,CORTEZ. CO
CFD,BRYAN. TX
CFE,BUFFALO. MN
CFJ,CRAWFORDSVILLE. IN
CFK,CHEFORNAK. AK
CFO,DENVER. CO
CFS,CARO. MI
CFT,CLIFTON/MORENCI. AZ
CFV,COFFEYVILLE. KS
CGC,CRYSTAL RIVER. FL
CGE,CAMBRIDGE. MD
CGF,CLEVELAND. OH
CGI,CAPE GIRARDEAU. MO
CGS,COLLEGE PARK. MD
CGZ,CASA GRANDE. AZ
CHA,CHATTANOOGA. TN
CHD,CHANDLER. AZ
CHK,CHICKASHA. OK
CHN,WAUCHULA. FL
CHO,CHARLOTTESVILLE. VA
CHP,CIRCLE HOT SPRINGS. AK
CHQ,CHARLESTON. MO
CHS,CHARLESTON. SC
CHT,CHILLICOTHE. MO
CHU,CALEDONIA. MN
CIC,CHICO. CA
CID,CEDAR RAPIDS. IA
CII,CHOTEAU. MT
CIK,CHALKYITSIK. AK
CIN,CARROLL. IA
CIR,CAIRO. IL
CIU,SAULT STE MARIE. MI
CJJ,CRESCO. IA
CJR,CULPEPER. VA
CJX,CROOKED CREEK. AK
CKA,CHEROKEE. OK
CKB,CLARKSBURG. WV
CKC,GRAND MARAIS. MN
CKF,CORDELE. GA
CKI,KINGSTREE. SC
CKM,CLARKSDALE. MS
CKN,CROOKSTON. MN
CKP,CHEROKEE. IA
CKU,CORDOVA. AK
CKV,CLARKSVILLE. TN
CKX,CHICKEN. AK
CKZ,PERKASIE. PA
CL01,DOS PALOS. CA
CL02,EL SEGUNDO. CA
CL03,EL SEGUNDO. CA
CL04,ELK GROVE. CA
CL23,BIGGS. CA
CL25,CUYAMA. CA
CL29,GOFFS. CA
CL33,PAUMA VALLEY. CA
CL46,GORMAN/LANCASTER. CA
CL56,CHICO. CA
CL74,ROSAMOND. CA
CL77,SANTA CRUZ. CA
CL84,HILMAR. CA
CLE,CLEVELAND. OH
CLI,CLINTONVILLE. WI
CLK,CLINTON. OK
CLL,COLLEGE STATION. TX
CLM,PORT ANGELES. WA
CLP,CLARKS POINT. AK
CLR,CALIPATRIA. CA
CLS,CHEHALIS. WA
CLT,CHARLOTTE. NC
CLW,CLEARWATER. FL
CMA,CAMARILLO. CA
CMD,CULLMAN. AL
CMH,COLUMBUS. OH
CMI,CHAMPAIGN/URBANA. IL
CMR,WILLIAMS. AZ
CMX,HANCOCK. MI
CMY,SPARTA. WI
CN13,CLARKSBURG. CA
CN15,LEMOORE. CA
CN19,KNIGHTSEN. CA
CN22,FIREBAUGH. CA
CN23,YERMO. CA
CN29,FARMINGTON. CA
CN33,EL SEGUNDO. CA
CN37,MOJAVE. CA
CN38,FRANKLIN. CA
CN42,MANTON. CA
CN44,MODESTO. CA
CN63,EXETER. CA
CN64,DESERT CENTER. CA
CN66,SAN SIMEON. CA
CN86,GRASS VALLEY. CA
CN95,STOCKTON. CA
CN98,PALO VERDE. CA
CN99,PATTERSON. CA
CNB,CANBY. MN
CNC,CHARITON. IA
CNH,CLAREMONT. NH
CNI,CANTON. GA
CNK,CONCORDIA. KS
CNM,CARLSBAD. NM
CNO,CHINO. CA
CNP,CHAPPELL. NE
CNU,CHANUTE. KS
CNW,WACO. TX
CNY,MOAB. UT
CO00,FLAGLER. CO
CO02,BENNET. CO
CO03,ASPEN. CO
CO04,KEENESBURG. CO
CO06,NEW RAYMER. CO
CO07,BLACKHAWK. CO
CO08,IDALIA. CO
CO10,BOULDER. CO
CO11,SALIDA. CO
CO12,BRIGHTON. CO
CO14,ALAMOSA. CO
CO15,ELBERT. CO
CO17,BYERS. CO
CO18,KIOWA. CO
CO19,CANON CITY. CO
CO20,CEDAREDGE. CO
CO22,BETHUNE. CO
CO23,LONGMONT. CO
CO25,AGATE. CO
CO26,GALETON. CO
CO27,CORTEZ. CO
CO28,ARAPAHOE. CO
CO29,PARACHUTE. CO
CO33,RUSH. CO
CO38,STRASBURG. CO
CO39,ELBERT. CO
CO4,ELLICOTT. CO
CO41,BENNETT. CO
CO42,ELIZABETH. CO
CO43,GLADE PARK. CO
CO47,GYPSUM. CO
CO48,EATON. CO
CO49,COLORADO CITY. CO
CO52,EVERGREEN. CO
CO53,FORT COLLINS. CO
CO54,FALCON. CO
CO55,FORT COLLINS. CO
CO56,KEENESBURG. CO
CO58,FIRESTONE. CO
CO59,GALETON. CO
CO60,KEENESBURG. CO
CO65,WESTCLIFFE. CO
CO66,GREELEY. CO
CO67,CARR. CO
CO70,LA SALLE. CO
CO73,HARTMAN. CO
CO76,HOTCHKISS. CO
CO80,FOWLER. CO
CO82,KEENESBURG. CO
CO83,ALAMOSA. CO
